Iso3,StartDate,EndDate,Area Code,Area Code (M49),Area,Item Code,Item,Element Code,Element,Year Code,Year,Unit,Value,Flag
#country+code,#date+start,#date+end,,,#country+name,#indicator+code,#indicator+name,,,,#date+year,#indicator+type,#indicator+value+num,
KEN,1986-01-01,1986-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1986,1986,USD,49.5625427679,E
KEN,1987-01-01,1987-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1987,1987,USD,51.5134764908,E
KEN,1988-01-01,1988-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1988,1988,USD,51.8458154178,E
KEN,1989-01-01,1989-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1989,1989,USD,48.4778663057,E
KEN,1990-01-01,1990-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1990,1990,USD,47.5905720836,E
KEN,1991-01-01,1991-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1991,1991,USD,44.2365660340,E
KEN,1992-01-01,1992-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1992,1992,USD,44.0785893575,E
KEN,1993-01-01,1993-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1993,1993,USD,30.4931653081,E
KEN,1994-01-01,1994-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1994,1994,USD,37.8084467133,E
KEN,1995-01-01,1995-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1995,1995,USD,46.6423719285,E
KEN,1996-01-01,1996-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1996,1996,USD,45.8285390125,E
KEN,1997-01-01,1997-12-31,114,'404,Kenya,22024,GDP Deflator,6179,"Value US$, 2015 prices",1997,1997,USD,49.7561633119,E
