year,month,region,county,market_name,food_category,food_item,measurement_unit,local_price,normalized_unit,rainfall_mm,temperature_c
2009,Oct,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,5550.0,90.0,130.98,25.67
2009,Oct,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,24.67,1.0,130.98,25.67
2009,Oct,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,54.45,1.0,130.98,25.67
2009,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,2362.0,90.0,130.98,25.67
2009,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Potatoes (Irish),50 KG,1173.88,50.0,130.98,25.67
2009,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,4850.0,90.0,130.98,25.67
2020,Dec,Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,37.6,1.0,58.11,25.35
2020,Dec,Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,106.3,1.0,58.11,25.35
2020,Dec,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,33.0,1.0,58.11,25.35
2020,Dec,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,94.0,1.0,58.11,25.35
2020,Dec,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,47.0,1.0,58.11,25.35
2020,Dec,Nairobi,Nairobi,Nairobi,non-food,Fuel (diesel),L,91.82,1.0,58.11,25.35
2020,Dec,Nairobi,Nairobi,Nairobi,non-food,Fuel (kerosene),L,83.56,1.0,58.11,25.35
2020,Dec,Nairobi,Nairobi,Nairobi,non-food,Fuel (petrol-gasoline),L,106.82,1.0,58.11,25.35
2020,Dec,North Eastern,Garissa,Garissa,cereals and tubers,Maize (white),KG,70.0,1.0,58.11,25.35
2020,Dec,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,82.0,1.0,58.11,25.35
2020,Dec,Rift Valley,Baringo,Marigat (Baringo),cereals and tubers,Maize (white),KG,40.0,1.0,58.11,25.35
2020,Dec,Rift Valley,Baringo,Marigat (Baringo),pulses and nuts,Beans (dry),KG,114.0,1.0,58.11,25.35
2020,Dec,Rift Valley,Kajiado,Kajiado,pulses and nuts,Beans (dry),KG,102.0,1.0,58.11,25.35
2020,Dec,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,26.88,1.0,58.11,25.35
2020,Dec,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,65.0,1.0,58.11,25.35
2020,Dec,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,25.14,1.0,58.11,25.35
2015,Oct,Coast,Kilifi,Kilifi,cereals and tubers,Maize (white),KG,38.0,1.0,64.36,26.97
2015,Oct,Coast,Kilifi,Kilifi,pulses and nuts,Beans (dry),KG,87.0,1.0,64.36,26.97
2015,Oct,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,2651.0,90.0,64.36,26.97
2015,Oct,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,6017.0,90.0,64.36,26.97
2015,Oct,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,34.0,1.0,64.36,26.97
2015,Oct,Eastern,Kitui,Kitui,cereals and tubers,Potatoes (Irish),50 KG,2200.0,50.0,64.36,26.97
2015,Oct,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,79.0,1.0,64.36,26.97
2015,Oct,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,51.6,1.0,64.36,26.97
2015,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,33.18,1.0,64.36,26.97
2015,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,2809.0,90.0,64.36,26.97
2015,Oct,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,2732.0,50.0,64.36,26.97
2015,Oct,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,50.0,0.5,64.36,26.97
2015,Oct,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,65.0,1.0,64.36,26.97
2015,Oct,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,2892.0,90.0,64.36,26.97
2015,Oct,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,3505.0,50.0,64.36,26.97
2015,Oct,Nyanza,Kisumu,Kisumu,cereals and tubers,Sorghum,90 KG,3310.0,90.0,64.36,26.97
2015,Oct,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,64.83,1.0,64.36,26.97
2015,Oct,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,6461.0,90.0,64.36,26.97
2015,Oct,Rift Valley,Baringo,Marigat (Baringo),pulses and nuts,Beans (dry),KG,103.0,1.0,64.36,26.97
2015,Oct,Rift Valley,Kajiado,Kajiado,cereals and tubers,Maize (white),KG,50.0,1.0,64.36,26.97
2015,Oct,Rift Valley,Kajiado,Kajiado,pulses and nuts,Beans (dry),KG,96.0,1.0,64.36,26.97
2015,Oct,Rift Valley,Nakuru,Nakuru,cereals and tubers,Maize,KG,24.62,1.0,64.36,26.97
2015,Oct,Rift Valley,Nakuru,Nakuru,cereals and tubers,Sorghum,90 KG,3279.0,90.0,64.36,26.97
2015,Oct,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,79.0,1.0,64.36,26.97
2015,Oct,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,24.77,1.0,64.36,26.97
