year,month,region,county,market,category,commodity,unit,pricetype,price,avg_rainfall_mm,normalized_price,log_normalized_price
2014,4,Rift Valley,Nakuru,Nakuru,pulses and nuts,Beans,KG,Wholesale,72.61,269.88,72.61,4.298780886070615
2014,4,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,70.1,269.88,70.1,4.264087336809195
2014,4,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,33.75,269.88,33.75,3.548179572010801
2014,4,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,3000.0,269.88,33.33,3.5360196074696004
2014,4,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,4950.0,269.88,55.0,4.02535169073515
2014,4,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,91.2,269.88,91.2,4.523960130562548
2014,5,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,39.97,339.76,39.97,3.7128400915587796
2014,5,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,3095.0,339.76,34.39,3.566429294357372
2014,5,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,78.98,339.76,78.98,4.381776603418673
2014,5,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,6290.0,339.76,69.89,4.261129379866926
2014,5,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,37.0,339.76,37.0,3.6375861597263857
2014,5,Eastern,Kitui,Kitui,cereals and tubers,Sorghum,90 KG,Wholesale,3600.0,339.76,40.0,3.713572066704308
2014,5,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,81.0,339.76,81.0,4.406719247264253
2014,5,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,46.67,339.76,46.67,3.8643022692167346
2014,5,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,35.87,339.76,35.87,3.607398212246053
2014,5,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,3100.0,339.76,34.44,3.56784112573688
2014,5,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,2206.11,339.76,44.12,3.8093256071898036
2014,5,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,202.25,339.76,202.25,5.31443674842792
2014,5,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,68.89,339.76,68.89,4.246922577489038
