province,district,market,latitude,longitude,commodity,unit,priceflag,price,year,month,milk and dairy,pulses and nuts,non-food,"meat, fish and eggs",#item+type,vegetables and fruits,oil and fats,cereals and tubers,miscellaneous food
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans (dry),90 KG,actual,3060.0,2006,4,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize (white),90 KG,actual,1739.47,2006,5,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,KG,actual,39.73,2006,5,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,3978.95,2006,5,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Maize (white),KG,actual,22.0,2006,5,0,0,0,0,0,0,0,1,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Beans (dry),KG,actual,51.0,2006,5,0,1,0,0,0,0,0,0,0
Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize (white),KG,actual,22.0,2006,5,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,26.0,2006,5,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Maize (white),90 KG,actual,1624.76,2006,5,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Potatoes (Irish),50 KG,actual,1624.99,2006,5,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Sorghum,90 KG,actual,2014.29,2006,5,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,"Milk (cow, pasteurized)",500 ML,actual,25.0,2006,5,1,0,0,0,0,0,0,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Oil (vegetable),L,actual,120.0,2006,5,0,0,0,0,0,0,1,0,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Beans,KG,actual,49.72,2006,5,0,1,0,0,0,0,0,0,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize,KG,actual,18.77,2006,5,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Maize (white),90 KG,actual,1720.0,2006,5,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Potatoes (Irish),50 KG,actual,1111.1,2006,5,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Sorghum,90 KG,actual,1400.0,2006,5,0,0,0,0,0,0,0,1,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans,KG,actual,48.09,2006,5,0,1,0,0,0,0,0,0,0
Nyanza,Kisumu,Kisumu,-0.1,34.75,Beans (dry),90 KG,actual,4543.0,2006,5,0,1,0,0,0,0,0,0,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize,KG,actual,15.58,2006,5,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Maize (white),90 KG,actual,1445.26,2006,5,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Sorghum,90 KG,actual,1031.58,2006,5,0,0,0,0,0,0,0,1,0
Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,Beans,KG,actual,53.6,2006,5,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize,KG,actual,20.1,2006,6,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Maize (white),90 KG,actual,1814.75,2006,6,0,0,0,0,0,0,0,1,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans,KG,actual,28.23,2006,6,0,1,0,0,0,0,0,0,0
Coast,Mombasa,Mombasa,-4.05,39.666667,Beans (dry),90 KG,actual,2706.25,2006,6,0,1,0,0,0,0,0,0,0
Eastern,Kitui,Kitui,-1.366667,38.016667,Beans (dry),KG,actual,53.0,2006,6,0,1,0,0,0,0,0,0,0
Eastern,Marsabit,Marsabit,2.333333,37.983333,Maize (white),KG,actual,20.0,2006,6,0,0,0,0,0,0,0,1,0
Nairobi,Nairobi,Nairobi,-1.283333,36.816667,Bread,400 G,actual,26.0,2006,6,0,0,0,0,0,0,0,1,0
