date,region,county,market_name,lat,lon,food_category,food_item,measurement_unit,local_price,normalized_unit
2006-05-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1720.0,90.0
2006-05-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Potatoes (Irish),50 KG,1111.1,50.0
2006-05-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1400.0,90.0
2006-05-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,48.09,1.0
2006-05-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans (dry),90 KG,4543.0,90.0
2006-05-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize,KG,15.58,1.0
2006-05-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Maize (white),90 KG,1445.26,90.0
2006-05-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,cereals and tubers,Sorghum,90 KG,1031.58,90.0
2006-05-15,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),0.516667,35.283333,pulses and nuts,Beans,KG,53.6,1.0
2006-06-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize,KG,20.1,1.0
2006-06-15,Coast,Mombasa,Mombasa,-4.05,39.666667,cereals and tubers,Maize (white),90 KG,1814.75,90.0
2006-06-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans,KG,28.23,1.0
2006-06-15,Coast,Mombasa,Mombasa,-4.05,39.666667,pulses and nuts,Beans (dry),90 KG,2706.25,90.0
2006-06-15,Eastern,Kitui,Kitui,-1.366667,38.016667,pulses and nuts,Beans (dry),KG,53.0,1.0
2006-06-15,Eastern,Marsabit,Marsabit,2.333333,37.983333,cereals and tubers,Maize (white),KG,20.0,1.0
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Bread,400 G,26.0,0.4
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Maize,KG,16.96,1.0
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,cereals and tubers,Sorghum,90 KG,1978.07,90.0
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,milk and dairy,"Milk (cow, pasteurized)",500 ML,22.0,0.5
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,oil and fats,Oil (vegetable),L,120.0,1.0
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans,KG,33.07,1.0
2006-06-15,Nairobi,Nairobi,Nairobi,-1.283333,36.816667,pulses and nuts,Beans (dry),90 KG,3017.0,90.0
2006-06-15,North Eastern,Mandera,Mandera,3.936804,41.858383,cereals and tubers,Maize (white),KG,22.0,1.0
2006-06-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize,KG,19.3,1.0
2006-06-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Maize (white),90 KG,1714.0,90.0
2006-06-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,cereals and tubers,Sorghum,90 KG,1220.0,90.0
2006-06-15,Nyanza,Kisumu,Kisumu,-0.1,34.75,pulses and nuts,Beans,KG,38.51,1.0
