date,rainfall_mm
10/11/2010,119.4375
10/21/2010,174.4375
11/1/2010,251.4583
11/11/2010,283.1458
11/21/2010,301.4792
12/1/2010,309.0625
12/11/2010,316.3125
12/21/2010,319.4583
1/1/2011,306.8958
1/11/2011,296.4792
1/21/2011,228.0417
2/1/2011,141.4583
2/11/2011,125.5833
2/21/2011,86.2083
3/1/2011,79.8125
3/11/2011,103.2917
3/21/2011,109.4792
4/1/2011,132.2083
4/11/2011,179.0833
4/21/2011,278.875
5/1/2011,369.8958
5/11/2011,371.2083
5/21/2011,401.5625
6/1/2011,401.625
6/11/2011,375.7708
6/21/2011,378.3125
7/1/2011,360.2083
7/11/2011,317.5833
7/21/2011,225.0208
8/1/2011,161.6667
8/11/2011,157.7083
8/21/2011,136.5417
9/1/2011,148.4167
9/11/2011,151.5
9/21/2011,173.625
10/1/2011,181.8333
10/11/2011,250
10/21/2011,355
11/1/2011,437.0625
11/11/2011,504
11/21/2011,596.25
12/1/2011,619.5
12/11/2011,612.8958
12/21/2011,579.3125
1/1/2012,567.625
1/11/2012,496.0625
1/21/2012,377.4375
2/1/2012,267.5417
2/11/2012,183.7708
2/21/2012,88.3958
3/1/2012,58.6458
3/11/2012,55.3333
3/21/2012,55.6875
4/1/2012,103.875
4/11/2012,222.7292
4/21/2012,440.7708
5/1/2012,588.375
5/11/2012,649.2708
5/21/2012,686.4792
6/1/2012,690.1667
6/11/2012,694.1667
6/21/2012,702.875
7/1/2012,665.6458
7/11/2012,557.7917
7/21/2012,355.0625
8/1/2012,218.5
8/11/2012,171.3542
8/21/2012,150.1458
9/1/2012,143.125
9/11/2012,147.2292
9/21/2012,139.9167
10/1/2012,190.0625
10/11/2012,246.8542
10/21/2012,258.0625
11/1/2012,346.8125
11/11/2012,376.25
11/21/2012,401.125
12/1/2012,417.7708
12/11/2012,446.2083
12/21/2012,482.4167
1/1/2013,423.0208
1/11/2013,358.4375
1/21/2013,345.6667
2/1/2013,247.0625
2/11/2013,201.7708
2/21/2013,154.9167
3/1/2013,140.9792
3/11/2013,130.5417
3/21/2013,160.5833
4/1/2013,281.5208
4/11/2013,470.375
4/21/2013,516.9375
5/1/2013,532.1875
5/11/2013,554.125
5/21/2013,577.7083
6/1/2013,571.9375
6/11/2013,563.6042
6/21/2013,500.5208
7/1/2013,382.8542
7/11/2013,199
7/21/2013,158.3125
8/1/2013,151.9792
8/11/2013,138.5625
8/21/2013,130.25
9/1/2013,135.9792
9/11/2013,127.6875
9/21/2013,133.0625
10/1/2013,147.6458
10/11/2013,149.625
10/21/2013,145.3125
11/1/2013,206.8333
11/11/2013,233.4792
11/21/2013,274.5208
