date,region,county,market,category,commodity,unit,pricetype,price
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,29.39
8/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,1975
9/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,11.77
9/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1075
9/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,32.57
9/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,19
9/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,42
9/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,20
9/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,14.8
9/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1278
9/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,582.22
9/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,20
9/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,120
9/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,22
9/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,13.6
9/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1242
9/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,30.74
9/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,2811
9/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,29
9/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,12.53
9/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,967.5
9/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,36.49
9/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans (dry),90 KG,Wholesale,2700
10/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,12.49
10/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans,KG,Wholesale,32.63
10/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,3023.75
10/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,19
10/15/2006,Eastern,Marsabit,Marsabit,cereals and tubers,Maize (white),KG,Retail,21
10/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,26
10/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,14.34
10/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1293.25
10/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,658.88
10/15/2006,Nairobi,Nairobi,Nairobi,milk and dairy,"Milk (cow, pasteurized)",500 ML,Retail,20
10/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,120
10/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,35.8
10/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,3280
10/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,23
10/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,13.67
10/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1282
10/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,30.94
10/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,30
10/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,11.77
10/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize (white),90 KG,Wholesale,1053
10/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1020
10/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),pulses and nuts,Beans,KG,Wholesale,38.18
11/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,12.68
11/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,2774
11/15/2006,Eastern,Kitui,Kitui,cereals and tubers,Maize (white),KG,Retail,19
11/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Bread,400 G,Retail,27
11/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,14.19
11/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize (white),90 KG,Wholesale,1273.6
11/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,955.55
11/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,2108
11/15/2006,Nairobi,Nairobi,Nairobi,oil and fats,Oil (vegetable),L,Retail,135
11/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans,KG,Wholesale,34.03
11/15/2006,Nairobi,Nairobi,Nairobi,pulses and nuts,Beans (dry),90 KG,Wholesale,3032
11/15/2006,North Eastern,Mandera,Mandera,cereals and tubers,Maize (white),KG,Retail,31
11/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,14
11/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,894.44
11/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,31.47
11/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,3200
11/15/2006,Rift Valley,Turkana,Lodwar (Turkana),cereals and tubers,Maize (white),KG,Retail,28
11/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,10.9
11/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Sorghum,90 KG,Wholesale,1200
12/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize,KG,Wholesale,12.73
12/15/2006,Coast,Mombasa,Mombasa,cereals and tubers,Maize (white),90 KG,Wholesale,1123.12
12/15/2006,Coast,Mombasa,Mombasa,pulses and nuts,Beans (dry),90 KG,Wholesale,2758.75
12/15/2006,Eastern,Kitui,Kitui,pulses and nuts,Beans (dry),KG,Retail,44
12/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Maize,KG,Wholesale,13.34
12/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Potatoes (Irish),50 KG,Wholesale,1122.22
12/15/2006,Nairobi,Nairobi,Nairobi,cereals and tubers,Sorghum,90 KG,Wholesale,1877.5
12/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize,KG,Wholesale,15.25
12/15/2006,Nyanza,Kisumu,Kisumu,cereals and tubers,Maize (white),90 KG,Wholesale,1400
12/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans,KG,Wholesale,34.71
12/15/2006,Nyanza,Kisumu,Kisumu,pulses and nuts,Beans (dry),90 KG,Wholesale,3467
12/15/2006,Rift Valley,Uasin Gishu,Eldoret town (Uasin Gishu),cereals and tubers,Maize,KG,Wholesale,11.27
